"noche","cafe","horas","prod"
"Día","No toma",7.4,61.9
"Día","No toma",3.9,69.3
"Día","No toma",3.7,71.3
"Día","No toma",8.2,52.2
"Día","Toma café",10,58.6
"Noche","Toma café",18.3,29.7
"Noche","Toma café",10,55.1
"Noche","Toma café",13.9,45.4
"Día","No toma",10.1,54.9
"Día","No toma",12.9,47.1
"Noche","Toma café",13.1,43.5
"Noche","Toma café",19.3,30.3
"Día","No toma",3,70.1
"Noche","Toma café",11.9,49.6
"Noche","Toma café",8.8,59
"Día","Toma café",11.4,59.7
"Día","No toma",18.8,29.6
"Noche","Toma café",15.7,44.8
"Noche","No toma",16.1,41
"Noche","No toma",13,44.5
"Día","No toma",7.6,62
"Día","No toma",6.5,63.5
"Día","No toma",5.9,62.4
"Noche","Toma café",16.1,45.5
"Día","No toma",9.9,63.3
"Día","No toma",9.3,62.4
"Noche","Toma café",10.5,66.8
"Noche","Toma café",9.7,51.7
"Noche","Toma café",12.5,49
"Día","Toma café",8.7,63
"Noche","Toma café",19.5,26.7
"Día","Toma café",14.2,49.9
"Noche","Toma café",12.8,46.7
"Noche","Toma café",15.2,53.6
"Día","No toma",10.1,60.9
"Día","No toma",5.2,61
"Noche","Toma café",13.9,41.6
"Noche","Toma café",15.4,47.5
"Día","No toma",6.6,76
"Día","No toma",5.5,62.5
"Día","No toma",10.1,51.6
"Día","No toma",8.8,54.3
"Día","No toma",6.9,59.3
"Noche","Toma café",19,29.9
"Día","Toma café",9.6,62
"Día","Toma café",13.3,51.1
"Noche","No toma",12.4,47.2
"Día","No toma",13.6,48.6
"Día","No toma",7.1,59.9
"Día","Toma café",6.8,72.3
"Noche","No toma",13.6,41.5
"Día","No toma",4.8,70.1
"Día","No toma",5.6,62.9
"Noche","No toma",14.6,40.1
"Día","No toma",9.6,56.7
"Día","No toma",8.6,47.6
"Noche","Toma café",17.7,36.9
"Día","No toma",10.4,51.5
"Día","Toma café",10.3,56.5
"Noche","No toma",12.9,46.5
"Día","Toma café",8.4,66.4
"Día","No toma",11.2,55.2
"Día","No toma",5.1,64.4
"Día","No toma",11.8,53.1
"Día","No toma",9.9,54.8
"Noche","Toma café",12.7,44.3
"Día","No toma",13.6,44.9
"Día","Toma café",8,67.6
"Día","Toma café",7.2,67.2
"Día","No toma",7.1,72.6
"Día","No toma",7.2,70
"Noche","No toma",13.3,40.7
"Noche","Toma café",13.7,42.7
"Día","No toma",10.6,49.7
"Noche","Toma café",16.9,39.2
"Noche","Toma café",20.3,33.5
