"T","X","Y"
1,46.1,10.71
0,38.7,6.14
0,35.6,1.56
0,40.5,2.95
0,51,10.2
0,33,4.15
0,52.3,7.69
0,52.2,12.03
0,61.4,9.85
0,68.3,14
0,47.5,10.48
0,29.6,2.6
0,67.7,10.44
0,55.8,9.28
0,50.6,8.63
0,60.8,10.84
0,39.8,4.8
0,46.7,9.18
0,56.5,4.95
1,52.2,10.16
0,44.9,8.91
0,56.5,14.08
0,40.7,0.78
0,35.4,7.55
0,47.8,6.85
0,56.9,8.14
0,47.5,11.06
0,32.5,7.49
1,66.8,14.38
0,43.4,6.89
0,45.6,2.26
0,56.7,6.06
1,57.5,13.69
0,59.2,8.82
0,58.6,10.39
0,57.4,9.45
0,49.7,13.91
0,61.8,11.57
0,35.3,5.67
0,32.6,1.39
0,56.3,9.19
0,48.6,11.37
0,47.7,8.59
0,59.3,12.73
0,51.8,10.28
0,53.3,11.08
0,58.2,8.47
0,48.6,7.79
0,28.5,0.94
0,46.3,7.18
0,29.5,3.6
0,35.3,6.49
0,59.3,9.79
0,42.3,5.53
0,63,14.35
0,37.4,7.26
0,56.6,4.83
0,59.4,11.05
1,56.6,9.96
0,54.9,6.24
0,38.2,6.49
1,45.9,11.38
1,54.8,14.12
1,60.1,12.87
0,47.9,5.77
0,48.8,11.19
0,46.3,6.5
0,59,10.03
0,49.7,11.27
0,38.7,7.26
0,64.7,16.37
0,47.3,8.91
0,52.7,6.17
0,39.2,1.79
0,53.2,8.46
0,49.8,5.62
0,22,-0.26
0,50.5,10.02
0,39.2,6.86
0,60.1,10.8
0,48.3,11.17
0,48.4,6.15
0,59.1,9.11
1,49.8,10.18
0,36.4,5.67
1,60.2,10.25
0,19.8,4.12
0,67.1,13.74
0,44.4,9.06
1,58.5,8.03
1,58.6,13.37
0,52.7,7.77
0,60.5,9.54
1,72.9,19.74
0,54.3,8.42
0,46.6,7.15
1,68.7,13.79
0,45.1,1.2
0,50.2,6.14
1,65,15.68
0,35,5.52
0,39.1,12.4
1,74.5,14.85
0,58.3,10.05
0,54.8,3.37
0,48.8,7.26
0,40.5,3.84
0,52.4,10.21
0,42.4,6.72
0,47.7,4.64
0,39.7,4.73
0,53.1,7.1
1,52.7,12.06
0,63.3,11.84
0,38.5,4.29
1,52.2,5.75
0,47.6,4.81
0,47.9,5.7
0,65.1,12.39
0,47.2,14.74
0,42.5,7.57
0,46.6,6.12
0,58.7,12.55
0,37.5,4.62
0,42,10.05
0,54.4,8.12
0,40.4,2.98
0,50.6,8.68
1,67.1,12.21
0,26.9,4.93
1,61.8,11.84
0,60.1,10.82
0,49.1,4.35
0,44.1,10.2
0,56.8,7.66
1,76.4,16.48
1,53.6,6.97
1,57.7,7.38
0,53.2,7.11
0,40.1,0.95
0,47.9,6.51
0,43.4,3.61
0,40.3,7.94
0,65.1,11.4
0,57.9,16.28
1,56.3,11.52
0,49.3,7.52
0,49.1,4.91
0,61.9,11.87
0,46.8,5.96
0,43.2,6.11
0,61.1,11.36
0,43.7,5.4
0,53.5,7.6
0,55.3,6.23
0,48.6,9.69
0,58,6.7
0,47.1,6.76
0,43.1,7.69
0,53.2,1.28
0,43.9,7.34
0,52.9,13.24
0,52.2,5.53
0,45.6,10.03
0,42.7,7.94
0,55.1,5.2
0,27,2.47
0,49.7,4.33
0,34.1,3.42
0,61,12.88
0,58.2,14.76
0,38.8,6.82
0,52.5,12.12
0,40.6,5.08
0,69.4,15.32
0,47.1,8.57
0,47.6,11.12
1,70.4,13.27
0,46.1,6.34
0,31,5.29
0,55.5,9.77
0,36.6,1.96
0,54.2,9.08
0,60.3,14.6
0,39.6,3.96
0,50.4,6.93
0,42.4,6.56
0,51.5,7.17
0,56.1,8.49
0,52,8.25
0,49.9,8.77
0,50.4,6.54
0,42.6,0.4
1,68.1,17.56
1,64,14.63
0,47.8,9.78
1,61.1,12.03
0,54.2,9.72
0,53.5,10.38
0,53.7,9.87
0,56.8,9.57
1,65.3,16.12
0,38.8,6.17
0,42.8,6
0,42.4,11.63
0,52.5,11.32
1,62.9,10.01
0,42.6,3.06
0,51.4,8.08
0,52.5,6.11
1,53.8,13.77
0,35.3,6.19
0,49.2,9.31
0,53.9,5.74
0,37.5,2.23
0,65.8,6.48
1,55.9,13.01
1,74.4,17.94
0,45.7,6.56
1,60.3,10.85
0,41.4,8.62
1,60.8,9.93
0,47.5,6.1
0,55.5,6.52
0,42.3,4.46
0,53.5,10.57
0,51,9.1
1,69.3,10.92
0,44.6,7.7
0,43.1,3.3
0,48.3,8.5
0,61.9,9.81
0,38.2,5.84
1,76.8,13.83
1,51.3,9.32
0,47.2,5.16
0,57.4,9.89
0,40.2,6.57
0,39.8,2.28
0,36.3,3.91
1,68.4,14.87
0,47.2,5.72
0,42.4,6.43
0,46,2.78
0,34.9,5.06
0,52.3,8.49
1,59.2,14.16
0,52.1,8.99
0,49.4,7.49
0,67.3,17.24
0,54.3,9.77
1,71.3,13.75
0,40.5,6.75
0,55.3,9.84
0,54.5,11.35
0,41.8,4.91
0,49.9,10.83
0,30.9,2.38
0,59.3,10.05
0,44.4,2.36
0,48.2,7.03
0,54.2,10.23
0,19.3,0.61
1,55.9,12.66
0,57.6,9.63
0,62.6,9.23
0,71.7,11.82
0,48.8,5.62
1,67.5,17.19
0,46.4,8.63
0,44.6,6.19
1,65.5,13.63
0,57.5,6.92
0,44.1,9.83
0,49.7,6.01
0,50.2,10.69
0,45.6,7.42
0,50.5,13.55
1,72.1,11.6
0,57.2,8.24
0,44.7,7.8
0,38.1,3.93
0,40.8,5.24
0,45.5,6.98
0,52.9,6.73
0,51,8.29
0,26.1,0.13
0,42.4,8.94
0,48.8,9.74
1,69.7,16.88
0,52.4,7.68
1,59,12.31
0,42.3,6.39
0,61.9,12.5
0,49.1,7.29
0,42.9,11.71
0,49.8,4.27
0,23,-0.92
0,64.2,5.53
0,57.6,8.47
0,54.8,8.14
0,61.7,17.05
1,66.2,14.48
0,43.8,0.91
0,57.1,11.75
0,59.3,9.98
0,53.7,12.35
0,41.6,7.31
0,57.5,9.7
1,45.7,7.35
1,57.2,15.52
0,38.9,3.28
1,55.1,12.81
0,54.9,9.54
0,45.2,7.72
0,55.1,11.09
0,41.9,8.58
0,42.3,3.1
0,48.7,11.71
0,39.9,9.25
0,53.7,6.94
0,48.9,12.15
0,53.3,8.72
0,48.8,5.87
0,54.9,7.96
1,56.8,12.48
0,55.2,5.92
0,40.2,7.3
1,45.2,12.79
0,36.2,7.19
0,56.9,10.02
0,54.9,7.32
0,27,-0.1
0,55.6,10.07
0,44.4,6.97
0,48.7,4.7
0,47.8,6.1
0,54.3,6.63
0,58.3,6.91
0,57.2,8.72
0,60,8.3
0,53.9,8.09
0,25.8,1.51
0,51.1,9.8
0,51.1,8.19
0,44.3,7.77
0,46.7,8.34
0,53.8,8.85
0,49.9,7.94
1,54.4,12.07
